0,1,0,1,0,0,3
1,1,0,1,0,0,3
2,1,1,1,0,0,1
3,1,1,0,0,0,129
4,1,1,0,0,0,129
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
0,1,0,1,0,0,43
1,1,0,1,0,0,43
2,1,1,1,0,0,41
3,1,1,0,5,0,129
4,1,1,0,5,0,129
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
0,1,0,1,0,0,139
1,1,0,1,0,0,139
2,1,0,1,0,0,137
3,1,0,2,0,1,184
4,1,0,0,0,0,199
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
0,1,0,1,0,0,35
1,1,0,1,0,0,35
2,1,1,1,0,0,33
3,1,1,0,4,0,129
4,1,1,0,4,0,129
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
0,1,0,1,0,0,11
1,1,0,1,0,0,11
2,1,1,1,0,0,9
3,1,1,0,1,0,129
4,1,1,0,1,0,129
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
0,1,0,1,0,0,51
1,1,0,1,0,0,51
2,1,1,1,0,0,49
3,1,1,0,6,0,129
4,1,1,0,6,0,129
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
0,1,0,1,0,0,59
1,1,0,1,0,0,59
2,1,0,1,0,0,57
3,1,1,0,7,0,129
4,1,1,0,7,0,129
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
